Date,Mean Temp (°C)
2024-01-01,0
2024-01-02,-2.1
2024-01-03,-6.2
2024-01-04,-2
2024-01-05,0.1
2024-01-06,-5
2024-01-07,-13.5
2024-01-08,-10.8
2024-01-09,-7.7
2024-01-10,-19.9
2024-01-11,-28.3
2024-01-12,-33
2024-01-13,-30.8
2024-01-14,-31.7
2024-01-15,-19.5
2024-01-16,-10.8
2024-01-17,-16.6
2024-01-18,-19.1
2024-01-19,-20.1
2024-01-20,-11.4
2024-01-21,-12.3
2024-01-22,-13.3
2024-01-23,-2.2
2024-01-24,-1.3
2024-01-25,3.9
2024-01-26,2.6
2024-01-27,3.1
2024-01-28,6.3
2024-01-29,4.7
2024-01-30,8
2024-01-31,2.9
2024-02-01,6.2
2024-02-02,5.3
2024-02-03,1.2
2024-02-04,-5
2024-02-05,-7.5
2024-02-06,-7.4
2024-02-07,-7.6
2024-02-08,-6.2
2024-02-09,-8.1
2024-02-10,-5.1
2024-02-11,-0.4
2024-02-12,-2.4
2024-02-13,-8.9
2024-02-14,
2024-02-15,-12.7
2024-02-16,-7.5
2024-02-17,-3.5
2024-02-18,-3.2
2024-02-19,-3.7
2024-02-20,-0.1
2024-02-21,0.2
2024-02-22,3.3
2024-02-23,7.6
2024-02-24,0.2
2024-02-25,-1.4
2024-02-26,-12.5
2024-02-27,-19.8
2024-02-28,-8.3
2024-02-29,-0.4
2024-03-01,-11.4
2024-03-02,-16.7
2024-03-03,-20.5
2024-03-04,-19.6
2024-03-05,-18.2
2024-03-06,-12.5
2024-03-07,-8.1
2024-03-08,-1.1
2024-03-09,4.3
2024-03-10,2.7
2024-03-11,2.2
2024-03-12,4.6
2024-03-13,1.5
2024-03-14,3.2
2024-03-15,6.9
2024-03-16,6.5
2024-03-17,6.6
2024-03-18,10.3
2024-03-19,1.4
2024-03-20,-6.1
2024-03-21,-7.2
2024-03-22,-8.1
2024-03-23,-8.7
2024-03-24,-7.7
2024-03-25,-10.2
2024-03-26,-5.4
2024-03-27,0.2
2024-03-28,-2
2024-03-29,-7.5
2024-03-30,-7.2
2024-03-31,-0.9
2024-04-01,4.3
2024-04-02,8.9
2024-04-03,6.1
2024-04-04,0.4
